Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"20","'072","Botswana","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.8","E",,,,,,,"0.56","E",,
"20","'072","Botswana","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.79","E",,,,,,,"0.42","E",,
"20","'072","Botswana","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.14","E",,,,,,,"0.16","E",,
"20","'072","Botswana","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","63.5","E","61.9","E","61.3","E","61.5","E","61.2","E","60.3","E"
"20","'072","Botswana","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","1.5","E","1.5","E","1.5","E","1.6","E","1.6","E","1.6","E"
"233","'854","Burkina Faso","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.67","E","2.78","E","2.73","E","2.82","E","3.04","E","3.57","E"
"233","'854","Burkina Faso","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.44","E",,,,,,,"0.55","E",,
"233","'854","Burkina Faso","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.15","E",,,,,,,"0.94","E",,
"233","'854","Burkina Faso","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.13","E",,,,,,,"0.34","E",,
"233","'854","Burkina Faso","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.92","E",,,,,,,"0.58","E",,
"233","'854","Burkina Faso","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.35","E",,,,,,,"0.4","E",,
"233","'854","Burkina Faso","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.19","E",,,,,,,"0.23","E",,
"233","'854","Burkina Faso","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","64.9","E","62.1","E","58.8","E","59.7","E","59.1","E","63.1","E"
"233","'854","Burkina Faso","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","12.9","E","12.7","E","12.3","E","12.8","E","13.1","E","14.3","E"
"29","'108","Burundi","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.34","E","3.13","E","3.11","E","3.29","E","3.5","E","3.97","E"
"29","'108","Burundi","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.62","E",,,,,,,"0.67","E",,
"29","'108","Burundi","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.11","E",,,,,,,"1.58","E",,
"29","'108","Burundi","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,"0.25","E",,
"29","'108","Burundi","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.53","E",,,,,,,"0.42","E",,
"29","'108","Burundi","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.45","E",,,,,,,"0.45","E",,
"29","'108","Burundi","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.11","E",,,,,,,"0.14","E",,
"29","'108","Burundi","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","89.6","E","87.9","E","87.2","E","88.1","E","88.3","E","89.6","E"
"29","'108","Burundi","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","10","E","10.1","E","10.4","E","10.8","E","11.1","E","11.6","E"
"35","'132","Cabo Verde","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.2","E","3.26","E","3.32","E","3.4","E","3.51","E","4.07","E"
"35","'132","Cabo Verde","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.34","E",,,,,,,"0.42","E",,
"35","'132","Cabo Verde","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.78","E",,,,,,,"0.86","E",,
"35","'132","Cabo Verde","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.28","E",,,,,,,"0.34","E",,
"35","'132","Cabo Verde","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.04","E",,,,,,,"1.16","E",,
"35","'132","Cabo Verde","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.82","E",,,,,,,"0.61","E",,
"35","'132","Cabo Verde","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.1","E",,,,,,,"0.14","E",,
"35","'132","Cabo Verde","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","30","E","28.9","E","27.3","E","35.5","E","33.4","E","30.5","E"
"35","'132","Cabo Verde","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","0.2","E","0.2","E","0.2","E","0.2","E","0.2","E","0.2","E"
"32","'120","Cameroon","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.58","E","2.65","E","2.7","E","2.77","E","2.95","E","3.39","E"
"32","'120","Cameroon","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.48","E",,,,,,,"0.58","E",,
"32","'120","Cameroon","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.84","E",,,,,,,"1.39","E",,
"32","'120","Cameroon","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.14","E",,,,,,,"0.26","E",,
"32","'120","Cameroon","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.59","E",,,,,,,"0.34","E",,
"32","'120","Cameroon","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.45","E",,,,,,,"0.24","E",,
"32","'120","Cameroon","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.12","E",,,,,,,"0.16","E",,
"32","'120","Cameroon","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","52.4","E","52.3","E","52.5","E","53.7","E","54.3","E","55.9","E"
"32","'120","Cameroon","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","12.8","E","13.1","E","13.5","E","14.2","E","14.8","E","15.6","E"
"37","'140","Central African Republic","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.96","E","3.03","E","3.08","E","3.12","E","3.27","E","3.53","E"
"37","'140","Central African Republic","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.53","E",,,,,,,"0.56","E",,
"37","'140","Central African Republic","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.28","E",,,,,,,"1.33","E",,
"37","'140","Central African Republic","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.14","E",,,,,,,"0.2","E",,
"37","'140","Central African Republic","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.95","E",,,,,,,"0.84","E",,
"37","'140","Central African Republic","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.34","E",,,,,,,"0.21","E",,
"37","'140","Central African Republic","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,"0.13","E",,
"37","'140","Central African Republic","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","86.9","E","86.1","E","85.7","E","86.1","E","86.5","E","86.7","E"
"37","'140","Central African Republic","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","4.3","E","4.4","E","4.5","E","4.6","E","4.7","E","4.8","E"
"39","'148","Chad","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.75","E","2.66","E","2.59","E","2.74","E","2.86","E","3.27","E"
"39","'148","Chad","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.5","E",,,,,,,"0.76","E",,
"39","'148","Chad","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.88","E",,,,,,,"0.91","E",,
"39","'148","Chad","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.19","E",,,,,,,"0.35","E",,
"39","'148","Chad","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.7","E",,,,,,,"0.4","E",,
"39","'148","Chad","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.39","E",,,,,,,"0.26","E",,
"39","'148","Chad","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,"0.18","E",,
"39","'148","Chad","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","63","E","60.4","E","57.1","E","59.1","E","59","E","60.8","E"
"39","'148","Chad","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","9.5","E","9.4","E","9.2","E","9.8","E","10.1","E","10.8","E"
"46","'178","Congo","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.02","E","3.05","E","3.04","E","3.09","E","3.27","E","3.64","E"
"46","'178","Congo","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.53","E",,,,,,,"0.6","E",,
"46","'178","Congo","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.63","E",,,,,,,"1.08","E",,
"46","'178","Congo","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.22","E",,,,,,,"0.45","E",,
"46","'178","Congo","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.12","E",,,,,,,"0.68","E",,
"46","'178","Congo","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.73","E",,,,,,,"0.36","E",,
"46","'178","Congo","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.1","E",,,,,,,"0.12","E",,
"46","'178","Congo","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","74.2","E","75","E","74.8","E","77.7","E","78.2","E","79.1","E"
"46","'178","Congo","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","3.9","E","4.1","E","4.2","E","4.4","E","4.6","E","4.7","E"
"107","'384","Côte d'Ivoire","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.45","E","2.52","E","2.63","E","2.71","E","2.93","E","3.27","E"
"107","'384","Côte d'Ivoire","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.43","E",,,,,,,"0.62","E",,
"107","'384","Côte d'Ivoire","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.11","E",,,,,,,"1.38","E",,
"107","'384","Côte d'Ivoire","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.15","E",,,,,,,"0.16","E",,
"107","'384","Côte d'Ivoire","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.04","E",,,,,,,"0.32","E",,
"107","'384","Côte d'Ivoire","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.39","E",,,,,,,"0.27","E",,
"107","'384","Côte d'Ivoire","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.15","E",,,,,,,"0.18","E",,
"107","'384","Côte d'Ivoire","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","53.5","E","49.2","E","46.7","E","48.9","E","49.6","E","49.7","E"
"107","'384","Côte d'Ivoire","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","13.3","E","12.5","E","12.2","E","13.1","E","13.6","E","14","E"
"250","'180","Democratic Republic of the Congo","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","4.3","E","3.8","E","3.52","E","3.3","E","3.32","E","3.53","E"
"250","'180","Democratic Republic of the Congo","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.38","E",,,,,,,"0.58","E",,
"250","'180","Democratic Republic of the Congo","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.21","E",,,,,,,"1.72","E",,
"250","'180","Democratic Republic of the Congo","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.14","E",,,,,,,"0.27","E",,
"250","'180","Democratic Republic of the Congo","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.8","E",,,,,,,"0.32","E",,
"250","'180","Democratic Republic of the Congo","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.32","E",,,,,,,"0.29","E",,
"250","'180","Democratic Republic of the Congo","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.08","E",,,,,,,"0.13","E",,
"250","'180","Democratic Republic of the Congo","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","94.8","E","93.4","E","93.1","E","93.1","E","92.4","E","91.4","E"
"250","'180","Democratic Republic of the Congo","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","79.9","E","81.4","E","83.7","E","86.5","E","88.6","E","90.5","E"
"72","'262","Djibouti","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.79","E","2.86","E","2.98","E","3.1","E","3.27","E","3.71","E"
"72","'262","Djibouti","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.45","E",,,,,,,"0.56","E",,
"72","'262","Djibouti","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.99","E",,,,,,,"1.33","E",,
"72","'262","Djibouti","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.16","E",,,,,,,"0.21","E",,
"72","'262","Djibouti","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.53","E",,,,,,,"0.61","E",,
"72","'262","Djibouti","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.56","E",,,,,,,"0.44","E",,
"72","'262","Djibouti","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.11","E",,,,,,,"0.13","E",,
"72","'262","Djibouti","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","54.5","E","53","E","52.5","E","53.4","E","52.7","E","53.6","E"
"72","'262","Djibouti","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","0.6","E","0.6","E","0.6","E","0.6","E","0.6","E","0.6","E"
"59","'818","Egypt","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.83","E","3.88","E","3.88","E","3.73","E","3.88","E","4.55","E"
"59","'818","Egypt","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.58","E",,,,,,,"0.66","E",,
"59","'818","Egypt","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.21","E",,,,,,,"1.59","E",,
"59","'818","Egypt","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.38","E",,,,,,,"0.47","E",,
"59","'818","Egypt","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.49","E",,,,,,,"0.5","E",,
"59","'818","Egypt","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.53","E",,,,,,,"0.41","E",,
"59","'818","Egypt","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.26","E",,,,,,,"0.24","E",,
"59","'818","Egypt","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","53","E","54.2","E","49.4","E","44.9","E","42.3","E","44.4","E"
"59","'818","Egypt","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","53.9","E","56.2","E","52.2","E","48.3","E","46.2","E","49.3","E"
"61","'226","Equatorial Guinea","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.67","E","3.75","E","3.79","E","3.83","E","3.97","E","4.32","E"
"61","'226","Equatorial Guinea","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.62","E",,,,,,,"0.9","E",,
"61","'226","Equatorial Guinea","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.8","E",,,,,,,"1.11","E",,
"61","'226","Equatorial Guinea","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.23","E",,,,,,,"0.35","E",,
"61","'226","Equatorial Guinea","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.15","E",,,,,,,"1.06","E",,
"61","'226","Equatorial Guinea","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.59","E",,,,,,,"0.37","E",,
"61","'226","Equatorial Guinea","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.12","E",,,,,,,"0.18","E",,
"61","'226","Equatorial Guinea","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%",,"O",,"O",,"O",,"O",,"O",,"O"
"61","'226","Equatorial Guinea","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No",,"O",,"O",,"O",,"O",,"O",,"O"
"209","'748","Eswatini","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.36","E","3.29","E","3.33","E","3.34","E","3.47","E","3.69","E"
"209","'748","Eswatini","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.51","E",,,,,,,"0.53","E",,
"209","'748","Eswatini","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.14","E",,,,,,,"1.26","E",,
"209","'748","Eswatini","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.34","E",,,,,,,"0.33","E",,
"209","'748","Eswatini","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.77","E",,,,,,,"0.79","E",,
"209","'748","Eswatini","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.52","E",,,,,,,"0.31","E",,
"209","'748","Eswatini","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.15","E",,,,,,,"0.24","E",,
"209","'748","Eswatini","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","68.9","E","67.6","E","67","E","67.5","E","65.1","E","65","E"
"209","'748","Eswatini","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","0.8","E","0.8","E","0.8","E","0.8","E","0.8","E","0.8","E"
"238","'231","Ethiopia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.83","E","2.86","E","2.99","E","3.1","E","3.37","E","3.72","E"
"238","'231","Ethiopia","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.44","E",,,,,,,"0.57","E",,
"238","'231","Ethiopia","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.88","E",,,,,,,"1.28","E",,
"238","'231","Ethiopia","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.27","E",,,,,,,"0.29","E",,
"238","'231","Ethiopia","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.55","E",,,,,,,"0.34","E",,
"238","'231","Ethiopia","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.78","E",,,,,,,"0.72","E",,
"238","'231","Ethiopia","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.19","E",,,,,,,"0.16","E",,
"238","'231","Ethiopia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","59.3","E","55.5","E","54.5","E","54.2","E","55.2","E","54.1","E"
"238","'231","Ethiopia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","64.2","E","61.6","E","62.2","E","63.5","E","66.3","E","66.7","E"
"74","'266","Gabon","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.25","E","3.3","E","3.38","E","3.43","E","3.61","E","3.96","E"
"74","'266","Gabon","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.55","E",,,,,,,"0.59","E",,
"74","'266","Gabon","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.73","E",,,,,,,"1.02","E",,
"74","'266","Gabon","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.22","E",,,,,,,"0.37","E",,
"74","'266","Gabon","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.17","E",,,,,,,"1.03","E",,
"74","'266","Gabon","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.57","E",,,,,,,"0.45","E",,
"74","'266","Gabon","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.11","E",,,,,,,"0.14","E",,
"74","'266","Gabon","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","32","E","32.6","E","33.1","E","34.8","E","36.3","E","37.3","E"
"74","'266","Gabon","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","0.7","E","0.7","E","0.7","E","0.8","E","0.8","E","0.9","E"
"75","'270","Gambia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.65","E","2.71","E","2.75","E","2.8","E","3","E","3.31","E"
"75","'270","Gambia","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.49","E",,,,,,,"0.8","E",,
"75","'270","Gambia","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.59","E",,,,,,,"0.94","E",,
"75","'270","Gambia","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.14","E",,,,,,,"0.29","E",,
"75","'270","Gambia","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.9","E",,,,,,,"0.33","E",,
"75","'270","Gambia","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.66","E",,,,,,,"0.41","E",,
"75","'270","Gambia","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,"0.23","E",,
"75","'270","Gambia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","42.4","E","41.3","E","40.6","E","43.2","E","43.6","E","44","E"
"75","'270","Gambia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","1","E","1","E","1","E","1.1","E","1.2","E","1.2","E"
"81","'288","Ghana","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.45","E","3.54","E","3.62","E","3.7","E","3.89","E","4.29","E"
"81","'288","Ghana","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.55","E",,,,,,,"0.77","E",,
"81","'288","Ghana","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.23","E",,,,,,,"1.6","E",,
"81","'288","Ghana","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,"0.44","E",,
"81","'288","Ghana","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.26","E",,,,,,,"0.51","E",,
"81","'288","Ghana","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.4","E",,,,,,,"0.28","E",,
"81","'288","Ghana","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.15","E",,,,,,,"0.29","E",,
"81","'288","Ghana","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","65.2","E","64.1","E","62.7","E","63.6","E","62.7","E","63","E"
"81","'288","Ghana","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","19.7","E","19.8","E","19.8","E","20.5","E","20.6","E","21.1","E"
"90","'324","Guinea","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.26","E","2.39","E","2.48","E","2.56","E","2.75","E","3.06","E"
"90","'324","Guinea","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.5","E",,,,,,,"0.5","E",,
"90","'324","Guinea","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.56","E",,,,,,,"1.1","E",,
"90","'324","Guinea","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.19","E",,,,,,,"0.33","E",,
"90","'324","Guinea","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.78","E",,,,,,,"0.36","E",,
"90","'324","Guinea","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.45","E",,,,,,,"0.32","E",,
