Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","18.7","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","7.3","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","7.1","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","7","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","7.9","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","8.3","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.44","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","3.41","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","3.46","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","3.65","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","4","E"
"7","'024","Angola","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.84","E"
"7","'024","Angola","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day","1.12","E"
"7","'024","Angola","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","1.01","E"
"7","'024","Angola","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day","1.12","E"
"7","'024","Angola","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.39","E"
"7","'024","Angola","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day","0.41","E"
"7","'024","Angola","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","1.2","E"
"7","'024","Angola","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day","0.43","E"
"7","'024","Angola","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.72","E"
"7","'024","Angola","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day","0.73","E"
"7","'024","Angola","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.17","E"
"7","'024","Angola","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day","0.2","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","62.7","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","65.1","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","66.8","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","70.1","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","71.7","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","18.9","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","20.4","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","21.6","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","23.4","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","24.7","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.93","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","4.11","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","4.2","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","4.31","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","4.48","E"
"8","'028","Antigua and Barbuda","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.6","E"
"8","'028","Antigua and Barbuda","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day","0.61","E"
"8","'028","Antigua and Barbuda","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.68","E"
"8","'028","Antigua and Barbuda","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day","0.73","E"
"8","'028","Antigua and Barbuda","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.43","E"
"8","'028","Antigua and Barbuda","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day","0.44","E"
"8","'028","Antigua and Barbuda","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","1.28","E"
"8","'028","Antigua and Barbuda","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day","1.14","E"
"8","'028","Antigua and Barbuda","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","1","E"
"8","'028","Antigua and Barbuda","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day","1.45","E"
"8","'028","Antigua and Barbuda","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.11","E"
"8","'028","Antigua and Barbuda","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day","0.12","E"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%",,"O"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%",,"O"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%",,"O"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%",,"O"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No",,"O"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.32","E"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.46","E"
"9","'032","Argentina","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.67","E"
"9","'032","Argentina","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.66","E"
"9","'032","Argentina","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.7","E"
"9","'032","Argentina","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.73","E"
"9","'032","Argentina","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.12","E"
"9","'032","Argentina","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","8.6","E"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%",,"Q"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%",,"Q"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%",,"Q"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%",,"Q"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","3.8","E"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No",,"Q"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No",,"Q"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No",,"Q"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No",,"Q"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.21","E"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","3.28","E"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","3.36","E"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","3.37","E"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","3.66","E"
"1","'051","Armenia","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.54","E"
"1","'051","Armenia","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day","0.57","E"
"1","'051","Armenia","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.97","E"
"1","'051","Armenia","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day","1","E"
"1","'051","Armenia","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.54","E"
"1","'051","Armenia","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day","0.39","E"
"1","'051","Armenia","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.43","E"
"1","'051","Armenia","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day","0.58","E"
"1","'051","Armenia","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.49","E"
"1","'051","Armenia","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day","0.88","E"
"1","'051","Armenia","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.12","E"
"1","'051","Armenia","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day","0.24","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","49.3","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","49.5","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","53.3","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","53.8","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","54.1","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","1.4","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","1.4","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","1.5","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","1.5","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","1.5","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.47","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","3.68","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","3.97","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","4.09","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","4.2","E"
"22","'533","Aruba","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.8","E"
"22","'533","Aruba","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day","0.59","E"
"22","'533","Aruba","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.72","E"
"22","'533","Aruba","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day","0.77","E"
"22","'533","Aruba","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.41","E"
"22","'533","Aruba","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day","0.49","E"
"22","'533","Aruba","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.91","E"
"22","'533","Aruba","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day","1.05","E"
"22","'533","Aruba","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.47","E"
"22","'533","Aruba","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day","1.15","E"
"22","'533","Aruba","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.12","E"
"22","'533","Aruba","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day","0.15","E"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%",,"O"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%",,"O"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%",,"O"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%",,"O"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No",,"O"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","2.33","E"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","2.36","E"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","2.4","E"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","2.51","E"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","2.58","E"
"10","'036","Australia","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.22","E"
"10","'036","Australia","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day","0.25","E"
"10","'036","Australia","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.46","E"
"10","'036","Australia","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day","0.49","E"
"10","'036","Australia","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.25","E"
"10","'036","Australia","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day","0.27","E"
"10","'036","Australia","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.6","E"
"10","'036","Australia","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day","0.72","E"
"10","'036","Australia","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.67","E"
"10","'036","Australia","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day","0.77","E"
"10","'036","Australia","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.07","E"
"10","'036","Australia","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day","0.08","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","2.9","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","3.2","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","3.2","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","3.5","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","3.2","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","0.7","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","0.8","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","0.8","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","0.9","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","0.8","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","2.06","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","2.11","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","2.19","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","2.3","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","2.43","E"
"11","'040","Austria","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.23","E"
"11","'040","Austria","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day","0.27","E"
"11","'040","Austria","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.61","E"
"11","'040","Austria","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day","0.55","E"
"11","'040","Austria","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.36","E"
"11","'040","Austria","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day","0.1","E"
"11","'040","Austria","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.7","E"
"11","'040","Austria","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day","0.73","E"
"11","'040","Austria","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.82","E"
"11","'040","Austria","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day","0.72","E"
"11","'040","Austria","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.05","E"
"11","'040","Austria","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day","0.06","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","2.5","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","2.3","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","2.7","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","2.5","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","3.4","E"
"11","'040","Austria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","0.2","E"
"11","'040","Austria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","0.2","E"
"11","'040","Austria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","0.2","E"
